board,title,content,time
Gossiping,Re: [問卦] 朋友姓姜林 小孩該怎麼取名," ※ 引述《cheinshin (那就這樣吧)》之銘言： : 大家晚安 : 魯叔有位姓「姜林」的朋友 : 他的第一個孩子即將出生 是男生 : 最近開始幫孩子取名 : 人才濟濟的八卦板鄉民能否為魯叔朋友的孩子取個氣勢不凡的好名字呢?  姜姓祖先姜亮，隨鄭成功來台，鎮守諸羅縣，定居於茅港尾 下營社。姜亮因無生育而扶 養林姓友人的小孩，領養後取名為林昇。  林昇生九子傳世，並將其後代冠以""姜林""姓，以示姜姓之存在。""姜林""姓一直延續至日 治時期被日本人改為姜姓至今。  「姜林姓龍泰堂」為姜姓之家廟，龍泰堂名字為取自姜亮祖籍福建省龍溪縣之「龍」字 ，與林祖籍福建省長泰縣之「泰」字而成。  「姜林姓龍泰堂」ㄧ樓奉祀玄天上帝，二樓奉祀姜太公，三樓奉祀開天炎帝。      ",2020-02-12 21:28:48
Gossiping,Re: [新聞] 研究：中國若沒隱瞞 全球疫情將可減少95%, 　　歐美疫情大爆發，大都還比亞洲國家晚了一個月左右的時間。  　　問題是歐美國家的政府真的有好好在從事防疫嗎？  　　大多數國家政府多半認為把人從武漢撤僑就以為沒事了，在這些國家疫 情初期，對防疫物資（口罩及防護衣等等）根本都沒有在管制出口及徵用就 知道了。  　　中國政府在這次疫情初期的作為的確作得很爛！但大多數國家政府的初 期防疫方式還有人民的防疫觀念還是不足以能擋住這次疫情的大流行。   　　PS：中國政府在初期隱瞞疫情的行為，目前就是被其他國家政府防疫無 能的施政，拿來當作脫罪之藉口罷了。    ,2020-04-29 08:26:49
Gossiping,[問卦] Dio會攻擊捐血中心嗎？,  大家安安  Dio是吸血鬼  那他如果活到現代  會不會直接去攻擊捐血中心呢？  這樣有一堆血可以喝惹  干五八卦？  - ,2020-05-09 18:46:49
Gossiping,[問卦] 威爾史密斯當年在想什麼,  嗨嗨 世界毀滅 他家的狗也被殭屍吃掉了 當時他在想什麼 有沒有專業研究病毒的大大 分享分享 有沒有卦  - ,2020-03-26 20:34:47
Gossiping,[問卦] 學校的朋友自製了一款桌遊,  昨天在學校的時候 學生會的幹部說她製作了一款桌遊 規則很像大富翁 結果我第一輪就骰到陷阱 然後就game over了  這款桌遊根本就超糞 我就只能在那邊看另外三個人玩 遇到這種事情該怎麼解決呢  - ,2020-04-12 02:39:45
Gossiping,[問卦] 台語歌, 日語、英語、中文  唱歌可以很快，也有慢歌 快慢都有好聽的   但是台語歌  為什麼只有慢歌好聽  應該說  好聽的機乎都是慢歌  有沒有八卦？         還有為什麼唱台語歌的 唱來唱去都是那幾個老前輩= =         ,2020-05-14 02:30:46
Gossiping,[問卦] 向心是不是就是投誠的共諜啊?, 就目前的情報看來投誠的共諜是真有其人  但澳洲那位王立強應該就是歐美情報單位找來的演員而已  目的是為了保護真正投誠的人  王立強所供的情報，向心通通知道   而且”王立強”自述為何會被中共吸收是因為向心找他教妻子畫畫，他才打入情報圈……  各位啊，哪個大老闆會找自己的年輕員工教妻子畫畫啊?  我看根本是向心自述認識妻子而被吸收吧   很剛好的間諜案爆發，向心夫婦都在台灣  而此現在大概也不會回去中國了            ,2019-11-25 19:04:37
Gossiping,"[問卦] 2020年民間科技,無法登月的八卦?"," 1969年美國登月 50年後不論是電腦,硬體,軟體,動力 都海放50年前設備  不要跟我說沒錢 50年前的電腦 現在5萬元就能超越了 50年前的燃料 現在油價比水便宜成本更低 模具,CNC成本也比50年前低,材料合金機械性質也比50年前強  現在能花少少的錢就能超越50年前的技術水平 為什麼民間無法載人登月 明明拿個1億美金 以現在技術水平 就能完成的事情 美國富豪一堆 一人出1000萬鎂 就能上月球了  2020年民間科技,無法登月的八卦?   ",2020-05-01 09:33:00
Gossiping,[問卦] 台灣人是不是很自卑?, 我常常看很多工作 我在公司徵才時 明明就沒有寫年齡和性別限制  一方面是法規問題 一方面是我覺得是人才 就勇敢來應徵吧  可是很多人會問「有性別限制嗎?」「有年齡限制嗎?」  台灣人是不是內建自卑模式? 認為自己有部分的特徵 就不用應徵了?   ,2020-05-14 10:21:27
Gossiping,Re: [問卦] 當初美國空襲東京，怎麼不炸皇居,,2019-11-16 20:06:15
Gossiping,Re: [問卦] 淳兒：「禁出國違憲」  你同意還反對, 法律上沒錯  所以他才有辦法出國  但道德上有錯  如果中標回來浪費病床 浪費健保  道德上錯沒辦法告他  但是鄉民可以幹譙他  或是拒絕給他看病  就像一樣台大醫小石小馮也沒犯法呀  但他們也要承受別人異樣的眼光嚕    ,2020-03-22 15:52:53
Gossiping,Re: [問卦] 台灣是否該恢復一夫多妻制？, 噗...  又一個搞不清狀況就在亂嘴的  首先就是漢人社會歷史上從來就沒有過一夫多妻  而是一夫一妻多妾制  而西方學者早就研究過為什麼亞洲企業常常富不過三代  其中一個原因就是第一代白手起家暴富之後  也開始二房三房四房一直納  大家長在世時各房尚能相安無事  老頭ㄧ死之後 馬上就是各房打幾年甚至幾十年豪門爭產法律大戰  然後就把家族企業的元氣打到喪盡 甚至被外人所謂的市場派趁虛而入取而代之  這種例子台灣社會已經超級多 我就不ㄧㄧ列舉了   嘴之前做一些功課好嗎......   ,2020-01-04 20:03:41
Gossiping,Re: [新聞] 北市聯醫傳50位醫護集體請辭 北市府說話, ※ 引述《debby1993 (Debby Wang)》之銘言： : 下班了來回一下 : 聯醫去年就因為獎金的事導致員工憤恨不平了 : 還透露109年會更糟 : 這種說法誰跑了也不用太意外 : 衛福部說過年後要召開會議協調也因為疫情延宕了 : 從疫情蔓延開來前啊 : 聯醫從各院區徵調人力去支援和平 : 因為若擴大和平會變專責 : 然後沒說要去幹嘛 : 也沒說獎勵措施 : 就叫各單位長官急急忙忙生名單 : 沒有勇者只好抽籤然後名單就送出去了 : 有人中籤就透露要離職了 : 過年期間新聞跑馬燈說禁止探病也沒有落實 : 二月時門禁每個院區不同標準 : 長官焦頭爛額因應中央的新規定 : 就是不斷開會不斷改SOP : 下面的也只能照做還要被民眾噴 : 連借廁所、借量血壓、借看報紙的也要噴你 : 2/23記者會出國禁令一出 : 不管你去哪個國家啥時要去 : 長官馬上傳訊說一律禁止 : 雖然後面中央有改口限疫區 : 但底下跟著做的沒幾個就是一律禁止出國 : 全境擴散裡面的護理師罷工 : 導致一堆人躺方艙只有修女看護 : 有關係的人才能躺醫院比較舒服 : 反正醫護跑光光也沒差 : 就比誰比較有權可以躺到比較好的病床 : 現在逆時鐘就是被出征 : 蟑螂只會喊不爽不要做 : 現在真的就不做 : 不做的人最大 : 台灣真的該醫療崩壞一回啊 : 以上   休蛋一咧 去年聯醫的獎金問題？！ 拜託柯粉們 這是你們柯文哲市府團隊搞出來的鳥事啊 幹 不要跟我說 台北市聯合醫院的獎金要上報的衛福部核定 這件事最早新聞是2018年 現在都2020年了 來來來 來一個柯粉跟我說說 這件事是誰的問題       ,2020-03-04 18:33:01
Gossiping,Re: [爆卦] 中原大學：教授不只講武漢肺炎 才要他道歉," 奇怪了,  現在八卦素質怎麼變這樣,  不要反中反到走火入魔好嗎??  這種指著鼻子講的話不算歧視??  推文一片言論說著 : 說實話也不行     好啊, 所以這個意思是, 你今天走在路上, 看到一個媽媽牽著一個明顯有殘缺的兒女,  你就可以直接指著他們說 : 欸欸, 你知道你生出了殘缺  我就問問, 可以這樣嗎??     ",2020-05-11 22:44:31
Gossiping,[問卦] 5元的雞絲應該要有多少?,"    麵48 雞絲5元  這個量是不是有一點少阿  如果用卜蜂沙拉雞胸來比....  這個5元好像""有點貴""  (買的時候是看不到的)  打開盒子有點愣住   ",2019-12-13 10:41:09
Gossiping,[問卦] 為什麼跨有荊益結好孫權則霸業可成?," RT  三國志 諸葛亮傳  隆中對  ""將軍旣帝室之冑，信義著於四海，總攬英雄，思賢如渴， 若跨有荊、益，保其巖阻，西和諸戎，南撫夷越，外結好孫權，內脩政理， 天下有變，則命一上將將荊州之軍以向宛、洛，將軍身率益州之衆出於秦川， 百姓孰敢不簞食壺漿以迎將軍者乎？誠如是，則霸業可成，漢室可興矣。""  大意就是  有荊益，好孫權，霸業可成  為什麼有荊益  跟孫權好  就能成霸業?  有沒有相關的八卦?           ◤ / ◤ ▁     ◤ / ──▄▄▃▂▁◣ ◣ ▌        》 ◆◆◆◆  ◆◆◆〆ゑ〥ζηι   ▔     ◥ \ ──▄▄▅▆▇◤ ◤         ◥ \ ◣   ",2020-01-28 17:21:46
Gossiping,Re: [問卦] 其實這個版只剩網軍吧？, ※ 引述《libra925b (立布拉)》之銘言： : 如題 : 個人是只會看廢文的鄉民 : 除了廢文一概不回 : 以前八卦有些廢文挺有趣的 : 有時候更能釣出專家回文還能長知識 : 現在充斥著政治文 : 我看以前那些鄉民們 : 要嘛退出要嘛不看 : 會不會政治文底下其實都是網軍啊？ : 一般鄉民都不推文回文了 : 有沒有八卦 : - : ,2020-05-15 14:41:48
Gossiping,[新聞] 向醫護致敬 法國人晚間齊聚窗邊鼓掌歡呼, 1.媒體來源: 經濟日報   2.記者署名 中央社 記者曾婷瑄   3.完整新聞標題: 向醫護人員致敬 法國人晚間齊聚窗邊鼓掌歡呼   4.完整新聞內文: 武漢肺炎疫情升溫，為感謝第一線醫療人員努力守護民眾健康，法國網友今天發起全國串 聯活動，邀請民眾晚上站在自家陽台共同為醫護人員鼓掌，活動獲得極大迴響。  法國媒體報導，名為「我們鼓掌」（#OnApplaudit）的全國串聯活動是由法國左派歐洲議 會議員格魯克斯曼（Rapha螔 Glucksmann）今天中午在推特（Twitter）上發起的，他邀 請全國民眾晚間7時（後改為8時），站在自家窗前、陽台或花園裡，一起大聲為醫護人員 鼓掌歡呼。  他在推文中寫道：「對那些為了照顧我們健康，勇於對抗危險、疲憊、物資缺乏的醫護人 員，表達我們的感謝、感佩與支持。表達我們對公共衛生體系的情感。表達我們的團結。 今晚7時，窗邊集合！」  活動受到許多政治人物分享，包括「不屈法國」（LFI）議員奧丹（Cl幦entine Autain） 。很快便有網友在臉書（Facebook）上建立活動頁面。活動的靈感來自義大利與西班牙民 眾先前的類似串聯活動。  今天是法國行動限制令上路的第一天，民眾在接下來14天內，外出的行動遭到限制。不僅 需要攜帶個人聲明，也嚴禁在路上聚會逗留，以減少傳播。  衛生部公衛署長沙羅孟（Jerome Salomon）晚間宣布，法國因2019年冠狀病毒疾病（COVI D-19，武漢肺炎）而死亡者累計達175人，其中7%為65歲以下患者。目前重症患者人數驟 增，從15日晚間的400人攀升至699人，可用重症病床數也在減少。過去一天新增確診病例 1167例，累計達7800例。   5.完整新聞連結 (或短網址):       ,2020-03-20 18:35:10
Gossiping,Re: [問卦] 現在油價比民國70年還低不少的八卦, 油當時技術美國頁岩油沒起來，  海洋石油技術也未強，  連地面石油技術也不強，  現在全面技術都進步，  當然石油變多，  多後價格低了   ,2020-04-05 20:58:24
Gossiping,[問卦] 小護士來了之後大家都生病的卦？, 醫生都說治療不如預防 自從她來沒人想要預防 愛喝酒的   她叫你小心肝 心太軟的　她說你要堅強  護理人員不是應該幫助病人康復嗎 怎麼來了之後大家病情變重了 有卦嗎   ,2020-01-09 17:39:11
Gossiping,Re: [新聞] 謝和弦嗆「沒LP」　柯文哲：人家心情不好, ※ 引述《liang691206 (liang691206)》之銘言 : 柯文哲很聰明啊 : 只敢嗆理性的人啊 : 嗆蔡英文  因為他知道蔡英文不會對他怎樣 : 有看過柯文哲嗆過韓粉嗎 : 連蔣萬安都認證不理智的韓粉 : 柯文哲就是不敢得罪 : 因為他沒辦法掌控韓粉下一步會做什麼事 : 像對中國也一樣啊 : 他也無法預測 : 所以要逐字稿 : 如今面對吸大麻 : 做出不合理事情的人 : 柯文哲當然不敢嗆啊啊啊啊啊 真的啊，  看那些嗆柯屁柯糞吃屎的蟑螂，  誰，被，告，過…  反觀酸民進黨或是國家的傻子，  被告率>>>>>>>>>>>>綠蟑螂  綠共不是叫假的。    ,2019-12-07 17:35:07
Gossiping,[問卦] 你各位能聽到的頻率是否符合年齡,"  人可以聽到音頻範圍介於20~20,000 赫茲的聲音 鄉民有可以聽到20,000Hz以上的超聲波能力者嗎？  音頻網址：（播放前請注意音量以免傷害耳朵）   能聽到頻率與耳朵年齡相對： 8,000 Hz = 聽力正常 10,000 Hz = 小於60歲 12,000 Hz = 小於50歲 14,000 Hz = 小於40歲 16,000 Hz = 小於30歲 18,000 Hz = 小於25歲 19,000 Hz = 小於20歲  對照表參考網路資料，為約略範圍 本肥宅30歲已經聽不到16,000 Hz了 QQ    ",2020-04-11 16:44:13
Gossiping,[問卦] 36歲處女可以追嗎？,  處女座喜歡翻舊帳 做事又很龜毛 愛管東管西管到大西洋 而且又喜歡批評別人 認為自己都是對的 最完美無缺 又常常反悔 表裡不一 根本是牆頭草  剛認識一個36歲的處女座女孩兒 交往過兩個男生 不知道可以追嗎？有沒有什麼風險？    江山一入風雲色，羽扇三分魏蜀朝。   ,2020-04-24 09:38:30
Gossiping,[問卦] 台南Uber開通, 大家好 小弟台南人 今天Uber 更新後打開來看 發現地圖多了好幾部車 也出現預約鍵 但是輸入想去的地方就失敗  有沒有台南要開Uber的八卦？謝謝   ,2020-01-23 13:54:49
Gossiping,[問卦] 哪一款才是真奇蹟？," 最近YT一直被垃圾手遊廣告洗版  全部都是各種異國口音的中文  聽了整個懶趴火都起來了  於是我忍不住用僅存的電量去PLAY商店  搜尋""奇蹟""，想看看到底是哪一款遊戲  沒想到跳出來一堆一樣的  請問哪一款才是真奇蹟？     ",2020-02-29 15:31:06
Gossiping,Re: [問卦] 中國共產黨為什麼這麼怕反滲透法啊??, 同意你說的，中國根本不怕。  但照慣例還是要嗆兩句表達立場，  這才是一個正常國家該有的態度。  只有台男會忌諱表達立場，  怕挑釁對方，怕激起對立，  只會檢討自己的意識型態，  騙自己是務實拼經濟，  投個票自慰正名自己叫台灣都失敗，  連自慰都輸人，難怪台女ccr.  ※ 引述《tzujan (無)》之銘言： : 根本沒在怕 : 那回答根本和所有回答台灣的政策的口氣一樣而已 : 我們堅決反對台灣獨立 : 我們強烈譴責美國干涉中國內政 : 我們從未干涉台灣選舉 : 台灣最大的紅色媒體當初拿到NCC發的媒體執照的但書 : 白紙黑字    全部沒過 : 根本不需要什麼反紅媒 : 早就可以把它撤照了 : 到現在還是開爽爽 : 他會擔心你那什麼 什麼都定義不清不楚 : 交由法官自由心證的反滲透法 : 這法目前表現強硬要過的樣子 : 只是讓綠粉高潮而已啦 : 有空自己去看下午立法院的反滲透黨團協商 : 國昌老師講了很多了   ,2019-12-27 22:50:14
Gossiping,Re: [問卦] 台灣最好吃的汕頭火鍋在哪?, ※ 引述《victoryss (☞ ☑中间选民 ☑爱歹玩)》之銘言： : 乳題 : 聽說最近汕頭火鍋很夯 : 我吃過很多家覺得味道好像都差不多ㄟ : 想問一下大+覺得哪家最好吃? : 有八瓜? 台灣最強就是屏東 新園汕頭牛肉火鍋  旁邊隆賓 隆興 都是超級好吃  絕對屌打台北火鍋 吃完會懷疑  台北美國牛肉是不是重組肉  味道真的不一樣 而且每種料都很好吃  去高雄玩或是墾丁 絕對值得  吃一次        另外也推萬丹街頭牛肉爐    這個都要訂位的  吃完回台北真的覺得台北火鍋soso    ,2020-01-13 19:34:46
Gossiping,[爆卦] Stanford:美國COVID-19感染率或為官方的80倍, 據美國《新聞周刊》網站4月18日報道，4月初，研究人員用指尖采血法提取了圣克拉拉 縣3300名志愿者的血樣進行分析。Stanford University研究後發現，2.5%到4.5%的人有抗體。研 究論文尚未接受同行評議，但已發布在醫學論文檔案網上。  　　圣克拉拉縣共有200萬人口，由此推斷，志愿者接受檢測時該縣可能已有4.8萬到8. 2萬人感染新冠病毒，最高估計值是官方公布病例數（1000例）的80多倍。  　　該研究帶頭人埃蘭·本戴維對美國廣播公司新聞部記者說：“我們的研究顯示，縣 里實際感染人數約為公共衛生部門報告數字的50倍到80倍。”  　　研究結果還表明，當地COVID-19患者的死亡率上限僅為0.2%，遠低于4.1%的全國死 亡率。  　　不過，研究人員也表示，不清楚這一研究結果是否適用于國內其他地方。  　　本戴維指出，圣克拉拉縣約95%的人口仍沒有抗體，很難決定是否放松限制措施。  　　公共衛生部門的官員說，大范圍開展抗體檢測有助于各地政府判斷是否可以復工復 產。  　　據英國《衛報》報道，并未參與這項研究的加利福尼亞大學伯克利分校流行病學教 授阿瑟·萊因戈爾德說：“認為這樣就可以放心復工復產的觀點有兩個制約因素：我們 不知道抗體能否起到保護作用，也不知道抗體的有效期有多長；何況，現在有抗體的人 口占比非常小。”   UltraSeven  : 人民幣貶到19 只是這1-2年的問題而已...         2019/05/29 07:28   ,2020-04-20 20:46:56
Gossiping,[問卦] 如何從外觀分辨大埔鐵板燒的飯是不是吃,   安安  本魯我是80公斤的肥宅啦  目前正在吃大埔鐵板燒  路過以為飯吃到飽  結果拿到菜單發現飯要10元  害我只敢吃兩碗...  對本魯我這種肥宅來說  飯一定要吃個五碗才爽  然後紅茶一定要喝到飽  如題  如何從外觀分辨大埔鐵板燒的飯是不是吃到飽      ,2019-12-12 23:09:42
Gossiping,[新聞] 梅根要抖出皇室黑暗面 威廉怒罵哈利:當你,  梅根要抖出皇室黑暗面 威廉怒罵哈利：當你已經死了！  2020-02-09 01:04聯合報 記者蘇詠智／即時報導  英國哈利王子與妻子梅根雖如願卸下皇室重要成員身分、在加拿大試圖建立新生活，八卦 媒體的抹黑與造謠非但沒停止，還愈掰愈誇張。「Star」指梅根要在接受艾倫狄珍妮絲專 訪時抖出皇室黑暗面，將某些人偽善的真面目徹底揭開；而「Globe」則指哈利的哥哥威 廉當他面痛罵：「你在我心裡就跟死了一樣！」彷彿兄弟之間手足情分已經斷得乾乾淨淨 、形同陌路。  英國皇室是八卦刊物的票房保證，不管怎麼寫，都會有人愛看，加上女皇伊麗莎白二世堅 持低調、不願讓皇室成員扯進難堪事件中，鮮少對八卦媒體提告，使得它們愈來愈無節制 ，什麼樣的離譜內容都能登出來。「Star」的報導重點在哈利王子到了加拿大，對於皇室 不再有顧忌，鼓勵梅根把自己受到的委屈都講出來，還指梅根覺得女皇一心想把她毀了， 只因她不想臣服於陳腐的繁文縟節，而威廉與妻子凱特看似友善，背後很喜歡再女皇面前 說三道四、打小報告，破壞女皇對她和哈利的觀感。梅根敲定要接受艾倫的專訪，剛好藉 機講個清清楚楚。  相較於「Globe」簡直把英國皇室描繪成八點檔的情節，「Star」的報導似乎稍稍有點可 信度。然而專門打臉八卦的網站反駁，哈利如果有苦水怎麼不自己說，而是慫恿老婆接受 專訪？況且他與梅根如果不在女皇通融下，也沒那麼快能得到自由，沒有理由要讓年紀那 麼大的奶奶臉上無光，最重要的是，梅根並沒有要讓艾倫專訪。「Globe」描述的兄弟翻 臉，當然更一點都不值得相信，就算哈利曾在訪問中透露和哥哥威廉已經走在不同的道路 上，卻還不忘強調自己永遠愛哥哥，威廉也沒有在公眾眼前與弟弟撕破臉，那種戲劇化的 衝突場面，不會在他們兩個之間出現。   心得：  尼哥真的不能娶!!!   ,2020-02-09 13:27:15
Gossiping,[問卦] 慟！我這樣能治療武漢肺炎嗎, 安安各位鄉親 我是睡覺睡不著的失眠星人 每天在小弟這個時間都在線失眠 因為失眠的關係 我每天都會吃安眠藥  但就在剛剛！我想到了世紀解決辦法 就是我484吃安眠藥可以讓武漢病毒一起睡著 我在睡覺 它也在睡覺 然後我的免疫系統趁機攻破防守 早上起床神清氣爽 我這樣的想法有沒有搞頭？   ,2020-03-23 00:11:37
Gossiping,[新聞] 「沒有投票權的香港人」杜汶澤問台灣：你, 1.媒體來源: 新頭殼  2.記者署名 〔洪翠蓮 〕  3.完整新聞標題: 「沒有投票權的香港人」杜汶澤問台灣：你知道你幸福嗎  4.完整新聞內文: 港星杜汶澤一向支持香港民主，也因此屢屢傳出遭中國封殺。   圖：翻攝自杜汶澤臉書  影片出處：杜汶澤臉書  台灣2020總統大選，全世界都在看，各陣營也強力催票，敦促選民回家投票。一向支持香 港民主運動的港星杜汶澤，9日上午在臉書上傳一段影片，他自稱「沒有投票權的香港人」 ，po文問「親愛的台灣，你知道你幸福嗎」。  短短46秒的影片中，杜汶澤以感性的旁白，配合香港反送中各式年輕人遭受港警暴力對待 的影片剪輯表示「民主對台灣人來說，能夠擁有，是基本權利，就像空氣一樣。但對於香 港人來說，我們的下一代就算是血流披面，民主也是遙不可及。我是杜汶澤，一個沒有投 票權的香港人，請大家珍惜自己的權利，1月11號回家投票」。  影片上傳不到1小時，已經吸引超過2萬人觀看，近4000人按讚，超過1000次的轉貼分享。 對於台灣選舉倒數，包括《紐約時報》、《華爾街日報》等國際媒體也加以報導，《紐時 》報導，中國的背後操控恰巧提供現任者助力，加上香港的反送運動，逆轉了蔡英文的政 治命運；《華爾街日報》指台灣的總統大選是中國的新挑戰，因為台灣不會像香港一樣， 對中國影響力的抵制，形成北京想要統一台灣的障礙。   延伸閱讀： 神風？！中國上海疑趁民眾出差強拆房 辯風刮倒的 選舉專論》一位「血統」深藍的外省二代告白：為了台灣的世代 國瑜黨不是選項 化身型男加美女主廚，來到台南永康西勢水果餅老店，賴清德與林宜瑾為雙人四手為民眾 親手獻上手工水果餅，預祝台南新一席立委的誕生 减肥先改掉這3大惡習，花2分鐘看完，睡覺都在瘦 讀者投書》大選該投誰? 給兒子同學的父母一封信  5.完整新聞連結 (或短網址):   6.備註: 杜汶澤看得比很多台灣人清楚   ,2020-01-10 09:21:24
Gossiping,[問卦] 是誰核准今日的嘉義縣市宮廟大遶境？," 今天整個嘉義縣市到處都是鞭炮煙霧  鞭炮一直放，後面也沒人清掃，射後不理  遶境的8+9是神功護體嗎？沒幾個有戴口罩  隊伍人數不輸大甲遶境  到底是那個單位核准這種大規模的遶境？  水管上已有一堆這遶境的影片可查  疾管署是不是該查一下？     ※ 八卦板務請到 GossipPicket 檢舉板詢問 ※ a.張貼問卦請注意，充實文章內容、是否有專板，本板並非萬能問板。 ※ b.一天只能張貼 ""兩則"" 問卦，自刪及被刪也算兩篇之內， ※   超貼者將被水桶，請注意! ※ c.本看板嚴格禁止政治問卦，發文問卦前請先仔細閱讀相關板規。 ※ d.未滿30繁體中文字水桶3個月，嚴重者以鬧板論，請注意！ ※ (↑看完提醒請刪除ctrl + y)   ",2020-03-22 23:46:37
