Timestamp,Which class are you in?,How much did you enjoy this unit?,Are the assignments for every class clear for you to understand?,Does the to-do list format for this unit make sense to you?,Would you prefer we teach you a software to draw this map?,What did you like about this unit?,What did you dislike about this unit?,What would you like to change about this unit to make it better?,Feedback or comments for your teacher
5/5/2020 11:04:27,8P3-B,5,3,"I have no preference, I just hate planning",I have no preference,no,too hard,make it easier,great
5/5/2020 11:07:40,8P3-C,8,6,I prefer this format,I have no preference,We can know more about this school,My drawing is very bad,I have no idea,Thanks my teacher for teaching me how to do this unit.
5/5/2020 14:22:17,8P5-2,1,9,"I have no preference, I just hate planning",I like the option to choose how I want to make the map,Nothing.,It's boring and annoying because I don't like to draw map. ,change the topic,nothing. Mr. Lin is very good
5/5/2020 14:23:02,8P5-2,5,7,"I have no preference, I just hate planning",I have no preference,Nothing,Tired,Can go out ,Very good
5/5/2020 14:24:13,8P5-2,6,8,I prefer this format,I would rather a software is actually taught in class for me to use,It's fine but it can be easier,The time is too short for creating a map,Change to be better,He's a teacher
5/5/2020 14:24:30,8P5-2,9,9,"I have no preference, I just hate planning",I like the option to choose how I want to make the map,The air conditioner,Chairs can't be spin,Change it to make it better,Best teacher ever (joking
5/5/2020 14:25:08,8P5-2,7,9,I prefer this format,I like the option to choose how I want to make the map,a lot,a lot,a lot,a lot
5/5/2020 14:25:15,8P5-2,7,10,I prefer this format,"Maybe the teacher can give some options  in software to student, and let the students to decide whether they want to use them or not. (More like a suggestion.)",The group work's option,Doing terrible measures and use them as our data.,Nothing.,Yeah!!
5/5/2020 14:25:50,8P5-2,8,8,I prefer this format,I would rather a software is actually taught in class for me to use,I like the process when drawing the map.,The air conditioner.,Change it to make it better,Pls just teach us about a specific software instead of letting us choose. Thats because I suck at everything
5/5/2020 14:26:49,8P5-2,9,8,I prefer this format,I like the option to choose how I want to make the map,Drawing a map is fun. ,Some dimensions in the master version are wrong. ,Give specific dimensions afterwards to make the final product be specific. ,"Good! Best teacher ever! Unlimited extension, yeah!"
5/5/2020 14:27:06,8P5-2,7,9,It's fine to me,I have no preference,"Coloring, drawing",it's okay,this unit is fine to me,no feedback
5/5/2020 14:29:36,8P5-2,10,10,I prefer this format,I like the option to choose how I want to make the map,good,nothing,nothing,very good
5/5/2020 14:30:12,8P5-2,7,7,"I have no preference, I just hate planning",I have no preference,drawing map,Planning,Draw our map again in 2d,keep on going
5/5/2020 14:30:16,8P5-2,7,7,"I have no preference, I just hate planning",I like the option to choose how I want to make the map,I like designing  and drawing the map.,I like everything about this unit.,This unit is great.,Nothing.
5/5/2020 14:30:27,8P5-2,3,6,I prefer this format,I like the option to choose how I want to make the map,I learn about how to make 3D model,It is too boring,Make more fun task,NO
5/5/2020 14:32:07,8P5-2,4,8,"I have no preference, I just hate planning",I have no preference,We can walk around the school,Too boring,Draw only two floor is better,Good
5/5/2020 14:32:59,8P5-2,6,6,I prefer this format,I like the option to choose how I want to make the map,walking around the school,drawing,less drawing and less writing,you the best
5/5/2020 14:33:05,8P5-2,8,8,I prefer this format,I like the option to choose how I want to make the map,We get to draw(mapping),we have to walk around the school,none,none
5/5/2020 14:34:38,8P5-2,10,10,"I have no preference, I just hate planning",I have no preference,drawing design layout,drawing design layout,nothing,Your a good teacher
5/6/2020 8:41:11,8P5-1,5,5,"I have no preference, I just hate planning",I would rather a software is actually taught in class for me to use,Building maps.,Planning,No planning,Good.
5/6/2020 8:53:52,8P5-1,9,9,I prefer this format,I like the option to choose how I want to make the map,I like to do the to-do list in the worksheet.,I dislike to analyze other maps.,I would like to make the map in different format or ways. ,No
5/6/2020 8:56:02,8P5-1,6,6,"I have no preference, I just hate planning",I like the option to choose how I want to make the map,I can choose my way the make the map,planning,nothing,nothing
5/6/2020 8:56:06,8P5-1,5,5,"I have no preference, I just hate planning",I like the option to choose how I want to make the map,I like the drawing part od this unit. ,I do not like planning. ,I would change nothing,nothing
5/6/2020 8:56:13,8P5-1,5,10,I prefer this format,I would rather a software is actually taught in class for me to use,"I like about the worksheet, since the amount of work we have to do decreases. ",I dislike to draw the map. ,I would like to change the things we are going to draw. ,None
5/6/2020 8:57:47,8P5-1,6,6,"I have no preference, I just hate planning",I like the option to choose how I want to make the map,I like this unit for choosing the format I like the most. ,We need to be very very specific. ,We can do a map at anyplace.(ex.our home),Nothing special 
5/6/2020 8:58:24,8P5-1,5,5,I prefer to write a journal or week by week task,I have no preference,"It is a drawing lesson, I prefer drawing things rather than making things","This assignment requires knowledge of color, and I am really not good at that kind of stuff",Nothing,Nothing
5/6/2020 8:58:37,8P5-1,7,7,I prefer this format,I like the option to choose how I want to make the map,Drawing the map,Writing workbook,No workbook,Nope
5/6/2020 8:59:09,8P5-1,7,9,I prefer this format,I like the option to choose how I want to make the map,"I think this unit is easy to understand and also easy to do, and not so much work to do in the workbook.",nothing,everything is good,good
5/6/2020 8:59:22,8P5-1,7,7,I prefer this format,I have no preference,Building building two in minecraft.,Some kind of planning,nothing(kind of good),nothing
5/6/2020 9:01:10,8P5-1,5,7,I prefer to write a journal or week by week task,I have no preference,Draw,label,delete this unit, haha
5/6/2020 9:01:25,8P5-1,6,8,"I have no preference, I just hate planning",I like the option to choose how I want to make the map,Go to different buildings to measure the length.,The time for drawing map is too short.,Nothing.,Nothing.
5/6/2020 9:01:37,8P5-1,3,6,I prefer this format,I would rather a software is actually taught in class for me to use,We have a long time to finish the map.,nothing,nothing,nothing
5/6/2020 9:10:09,8P5-1,5,5,"I have no preference, I just hate planning",I would rather a software is actually taught in class for me to use,Building Maps,Planning,No planning,Great. Awesome
5/6/2020 9:10:39,8P5-1,7,6,"I have no preference, I just hate planning",I like the option to choose how I want to make the map,Using minecraft to make the map.,Planning,Don't do the planning,None
5/6/2020 9:11:11,8P5-1,8,7,I prefer this format,I would rather a software is actually taught in class for me to use,We need to plan ahead.,It takes a lot of time,Less work more play,Great
5/6/2020 9:11:37,8P5-1,8,8,"I have no preference, I just hate planning",I like the option to choose how I want to make the map,T think it is cool and interesting,It need need patient,Make the time longer,No
5/6/2020 9:12:35,8P5-1,10,10,I prefer this format,I like the option to choose how I want to make the map,Desgin,Can't sleep,time,AHHHHHH
5/6/2020 9:41:51,8P3-S1,10,10,I prefer to write a journal or week by week task,I like the option to choose how I want to make the map,It is a cool experience,Nothing ,Nothing ,I think this  cool 
5/6/2020 9:42:44,8P3-S1,7,8,I prefer this format,I like the option to choose how I want to make the map,Use the measuring wheel to measure the school. ,Write the length about the map. ,Just don’t do does!!,N\A
5/6/2020 9:43:22,8P3-S1,10,10,I prefer this format,I like the option to choose how I want to make the map,Fun.,Nothing.,Nothing.,No.
5/6/2020 9:44:44,8P3-S1,8,9,I prefer this format,I have no preference,It can go out and measure the classroom length.,Drawing the map is a little  bother.,Very good,No la haha
5/6/2020 9:46:07,8P3-S1,5,5,I prefer to write a journal or week by week task,I would rather a software is actually taught in class for me to use,I can know the map better,too more hand drawing,measuring wheele,music can be louder
5/6/2020 9:48:42,8P3-S1,7,10,I prefer to write a journal or week by week task,I like the option to choose how I want to make the map,This unit is fun because we can use anythings to do it like Minecraft.,My parner didn't do anything so I spend a lot of time to finish my map.,Change my partner.,No
5/6/2020 9:48:43,8P3-S1,10,10,"I have no preference, I just hate planning",I would rather a software is actually taught in class for me to use,I think this unit let us use what we learned in class and make real product,We aren't taught enough about drawing map,"Longer teaching time, to teach us how to use softwares or how we could draw the map",Well done! :D
5/6/2020 9:49:03,8P3-S1,5,6,I prefer this format,I would rather a software is actually taught in class for me to use,I like that you need to have been learning about the unit work.,Nothing,To make the map for gym.,It is a good teacher for the things that is about it.
5/6/2020 9:55:32,8P3-S1,5,5,I prefer this format,I would rather a software is actually taught in class for me to use,Go out to measure the school,draw map,teach us how to draw map or design map,I think you did well 
5/6/2020 15:43:24,8P3-C,10,10,"I have no preference, I just hate planning",I like the option to choose how I want to make the map,drawing the map,have to draw building,doodling,very good unit
5/6/2020 15:44:31,8P3-C,10,8,"I have no preference, I just hate planning",I have no preference, Creating and drawing is fun,the researching,make our project faster,"I think he is very good, he gives out information clearly"
5/6/2020 15:45:36,8P3-C,10,7,I prefer this format,I like the option to choose how I want to make the map,"The unit is connected to our school, which is very fun and useful. Moreover, it clear tells us what the school did bad.",The time for us is not enough to view and change. I prefer to had multiple team check of other's map to improve our own. ,Add more group check :),"I really this unit alot. Therefore, I prefer more units like this. :)"
5/6/2020 15:45:53,8P3-C,8,9,I prefer this format,I like the option to choose how I want to make the map,I learn about measuring the floor in our school and learn how to draw a simple map.,Too many things to finish in a short time. ,I will change the due date for the map. ,This unit is a great unit. 
5/6/2020 15:45:59,8P3-C,6,6,"I have no preference, I just hate planning",I like the option to choose how I want to make the map,I like the measuring of the building inthis unit,I dislike about the planing,No,Ypu are amazimg
5/6/2020 15:46:19,8P3-C,8,9,I prefer this format,I like the option to choose how I want to make the map,I like to go around the school and draw the structure of it. ,I dislike to draw the map on paper and the side of it have to be the same. ,I would like to change drawing the map on the paper into online drawing. ,Wish in the future we can create some object design. 
5/6/2020 15:46:35,8P3-C,8,8,I prefer this format,I like the option to choose how I want to make the map,Measure the length of the room.,Draw the map.,No map drawing.,No
5/6/2020 15:46:39,8P3-C,8,8,I prefer this format,I like the option to choose how I want to make the map,no,no,no,you are awesome(Zoe and Rachel)
5/6/2020 15:47:29,8P3-C,8,8,I prefer to write a journal or week by week task,I have no preference,Yes,Nothing,it is good enough,n
5/6/2020 15:47:29,8P3-C,9,8,I prefer this format,I have no preference,"After doing this unit, I understand the school more clearly.",No,No,No
5/6/2020 15:47:54,8P3-C,7,6,I prefer this format,I like the option to choose how I want to make the map,"We can be creative to do everything, We try to learn how to solve the problem and how can we made the assignment better and better.",It is a little bit unclear to get mark. I think time is a little bit short to finish this assignment.,Adding more game or challenge to encourage to do better efficiency for work.,Great teaching. Like explain lots of way to lets us understand better.
5/6/2020 15:48:26,8P3-C,8,5,I prefer to write a journal or week by week task,I like the option to choose how I want to make the map,Draw the map,It’s difficult to draw some floor ,No,Good
5/6/2020 15:49:21,8P3-C,7,8,"I have no preference, I just hate planning",I like the option to choose how I want to make the map,to draw the poster,plaining,to let us have more reference to see,very good
5/6/2020 15:49:32,8P3-C,4,6,I prefer this format,I like the option to choose how I want to make the map,Drawing maps,Doing worksheets ,This is the best unit I have ever had before.,Awesome
5/6/2020 15:52:56,8P3-C,7,7,I prefer this format,I like the option to choose how I want to make the map,Can draw maps.,So hard to draw the maps.,Make the map easier to draw. ,"Good, thanks"
5/6/2020 15:54:55,8P3-C,7,8,I prefer to write a journal or week by week task,I like the option to choose how I want to make the map,I like to draw map ,I hate that we have to draw all the floors,"I think we can don’t draw a building, we can just draw some floor then it is enough",None
5/6/2020 15:56:23,8P3-C,9,8,I prefer to write a journal or week by week task,I have no preference,ok,nothing,I think is good ,you are great
5/6/2020 15:57:14,8P3-C,7,9,"I have no preference, I just hate planning",I have no preference,I like to use sketch up to draw my building 2 and color the map.,I dislike about drawing the map.,I think the example of the school map can be better to look and see and the work would be easier to do.,No feedback.
5/6/2020 16:01:00,8P3-C,8,8,"I have no preference, I just hate planning",I like the option to choose how I want to make the map,We can discuss together. Group work,None,None,None
5/6/2020 16:00:51,8P3-C,5,9,I prefer to write a journal or week by week task,I like the option to choose how I want to make the map,"As a group, we can discuss what can we do with our map, the planning, how the group work goes. ","For some of the student like me, I not good at drawing map, that will make my group mate do many work.",no commons,perfect
5/6/2020 16:33:47,8LL-B,5,10,"I have no preference, I just hate planning",I would rather a software is actually taught in class for me to use,We measure the map outside the classroom,No specific way of drawing the map,Teaching how to draw accurate map ,clear instructions 
5/6/2020 16:35:10,8P3-C,3,5,"I have no preference, I just hate planning",I have no preference,"The Freedom of this unit, you can use everything to make a map.",Planning and brainstorming,Working with more teammates,"Working with teammates is very fun, so do it often!"
5/6/2020 16:35:16,8LL-B,10,10,"I have no preference, I just hate planning",I have no preference,"We can choose the way we make the map, which is cool.",I chose a way that costs too much time and hard to make.,Nothing,Everything is great
5/6/2020 16:35:39,8LL-B,10,10,I prefer this format,I like the option to choose how I want to make the map,"We can use the software we like to make the map. Also, the workbook is easy to understand. ",None,None,Excellent!
5/6/2020 16:35:49,8LL-B,7,6,"I have no preference, I just hate planning",I would rather a software is actually taught in class for me to use,Working with teammates,Planning and brainstorming,I would make the the lesson interactive and include more peer checking.,He is great at teaching
5/6/2020 16:36:55,8LL-B,10,10,I prefer this format,I like the option to choose how I want to make the map,great,great,not a lot,"good work, thank you."
5/6/2020 16:36:57,8LL-B,6,6,I prefer this format,I have no preference,How we got to choose the software ,nothing,nothing,nothing
5/6/2020 16:38:50,8LL-B,8,6,"I have no preference, I just hate planning",I like the option to choose how I want to make the map,I like the freedom you have choosing the app you want to use to create your app.,"The schedule of the project is a little bit confusing, I thought today we can make the map","I would like to have a better master version in the school map, some is too small and some unclear.","Subscribe to Eric An on yt:
https://www.youtube.com/channel/UC2xiHWFa_Gdst1XV76NJD2w?view_as=subscriber"
5/6/2020 16:39:30,8LL-B,7,8,"I have no preference, I just hate planning",I like the option to choose how I want to make the map,I like the fact that we can choose to actually build the map by our selves.,I think the time to do the project is too less,I would like to have more time to build it in class,I think the class is good
5/6/2020 16:44:59,8LL-B,7,8,I prefer this format,I like the option to choose how I want to make the map,The freedom on the method to create the map contributes to students showing their own creativity and great ideas others may not consider. This also promotes students to learn from classmates through discussing different ideas. Some ideas may be great options to create other projects. ,"The lack of examples provided increases the difficulty of completing the project. Since there are no lectures on how to use software for creating the map, students require additional time to adapt to using the software. ",I would like the teacher to provide an example and give free time for students to explore how they would create the actual map. Providing examples makes sure students do not waste time brainstorming the method to create the map. ,"Try to provide examples, and how students can use the resources you posted for the class to facilitate the creation of products."
5/6/2020 16:46:48,8LL-B,9,10,"I have no preference, I just hate planning",I like the option to choose how I want to make the map,We got many options to do the map.,"We need more class time to finish, I want to finish every floor of every building. OCD😂😂. We need to measure the floors ourselves, which some people's measurement is completely garbage.","More time, full work",Handsome
5/7/2020 16:25:55,8P3-1,10,10,I prefer this format,I have no preference,building map,nothing,nothing,very good
5/7/2020 16:26:28,8P3-1,8,8,I prefer this format,I like the option to choose how I want to make the map,I can draw map that I like.,need to plan it ,No,No
5/7/2020 16:27:36,8P3-1,6,6,I prefer to write a journal or week by week task,I would rather a software is actually taught in class for me to use,I can work with my friend and walk out the classroom,To much space imagination.,go outside more.,Good.
5/7/2020 16:28:19,8P3-1,9,8,"I have no preference, I just hate planning",I have no preference,We can make the map by ourself,We don't have many time to make the map.,To make the time longer,no
5/7/2020 16:29:19,8P3-1,5,8,I prefer this format,I like the option to choose how I want to make the map,I enjoy measuring the school's building measurement. ,It's hard to draw/ organize the school map ,Each person only need to draw one floor of the building ,none
5/7/2020 16:28:32,8P3-1,8,8,I prefer this format,I would rather a software is actually taught in class for me to use,I like to go outside to measure the distance.,The drawing part is too much,"Only need to drew for few floors, not all of the building.",very good
5/7/2020 16:29:56,8P3-1,3,5,"I have no preference, I just hate planning",I like the option to choose how I want to make the map,The making part,We need more time for making map,"Its fine, just need more time",Good
5/7/2020 16:30:55,8P3-1,10,10,I prefer this format,I like the option to choose how I want to make the map,I like it on building maps.,"I dislike it on we need to use a lot of time on measuring the map, and some of the master version are not good.",I wish the teacher can give the currect messerment of the building.,your teaching are easily to know.
5/7/2020 16:31:00,8P3-1,8,8,I prefer this format,I like the option to choose how I want to make the map,it's very fun and I can learn how to make a map by our self,need to draw many thing,"too many flour to draw, maybe just let we make 2 flour","I think we need more time, and other is good enough"
5/7/2020 16:31:45,8P3-1,6,7,"I have no preference, I just hate planning",I like the option to choose how I want to make the map,It can help us learn drawing skill,My drawing skill is bad,"more fun, not drawing",I think we can make the model
5/7/2020 16:31:45,8P3-1,9,8,I prefer this format,I would rather a software is actually taught in class for me to use,"i think this unit is fun, but I have too much problem on building map",I don't like the due date.,"I think if the due date is longer, this unit will be more fun","None,"
5/7/2020 16:32:12,8P3-1,6,7,I prefer to write a journal or week by week task,I would rather a software is actually taught in class for me to use,Measure the meter..,Design the map,Delete the map designing part.,You are handsome.
5/7/2020 16:35:50,8P3-1,8,8,I prefer to write a journal or week by week task,I would rather a software is actually taught in class for me to use,Because this unit let me know how to determine the map is good or bad.,Not thing to dislike.,I think school can give us the tool for make the map.,Your speaking is clear and everything you told us will explained clearly.
5/7/2020 16:36:35,8P3-1,8,7,"I have no preference, I just hate planning",I would rather a software is actually taught in class for me to use,FUN and TEAMWORK.,WE NEED MORE TIME.,MORE TIME.,"Hi, I think we need time."
5/7/2020 16:42:50,8P3-1,6,8,"I have no preference, I just hate planning",I like the option to choose how I want to make the map,Can design the map,Drawing is too difficult ,We can use app to design and print,No
5/7/2020 16:45:37,8P3-1,4,4,"I have no preference, I just hate planning",I like the option to choose how I want to make the map,nope ,it is boring ,more fun game ,"good
"
5/11/2020 8:57:31,8P5-3,5,5,"I have no preference, I just hate planning",I have no preference,we get to make our own stuff ,planning and it takes a lot of time ,no work just fun,u teach gud 
5/11/2020 8:57:37,8P5-3,7,7,"I have no preference, I just hate planning",I like the option to choose how I want to make the map,I like the fact that we can use any softwares freely to design our map.,"There's a lot of work in making a school map, which it takes a lot of time. ",Make more options of the success criteria. ,.
5/11/2020 8:58:37,8P5-3,3,4,I prefer to write a journal or week by week task,I like the option to choose how I want to make the map,i like how we can actually do thing then writing work-sheet every time ,"I dislike how we have to do many thing in once, to be clear we have to write the worksheet as well as finishing the map ",I would probably make the planning and research shorter and extend the time to finish the map,"Please understand that student have other homework then design, and give us more time to work on things."
5/11/2020 8:59:29,8P5-3,7,7,I prefer this format,I like the option to choose how I want to make the map,I can choose how I want to make the map,It spent a lot of time and I don't have enough time to review for my midterm exam.,No,No
5/11/2020 8:59:45,8P5-3,6,6,"I have no preference, I just hate planning",I have no preference,No,No,No,No
5/11/2020 9:00:59,8P5-3,4,8,I prefer to write a journal or week by week task,I like the option to choose how I want to make the map,I like that we can decide how we can plan our work ourselves.,"I think the theme/topic is not interesting, and there are too much requirements on the map.",I would like to have more freedom to make our work.,I think you can decrease the amount of work on the student worksheet.
5/11/2020 9:01:57,8P5-3,7,9,"I have no preference, I just hate planning",I would rather a software is actually taught in class for me to use,I like that there's a master version of the map so we can just make the map using it. ,There are no dislikes. ,There too less time for us to finish the map. ,No comments. 
5/11/2020 9:02:07,8P5-3,6,6,I prefer this format,I would rather a software is actually taught in class for me to use,we can chose the format that we like,not enough time,more time to do,I need more time
5/11/2020 9:02:57,8P5-3,8,7,I prefer this format,I would rather a software is actually taught in class for me to use,We can design our own map.,The amount of map that we need to draw are to much.,We can learn a software to draw map.,"We can have more time of this unit, so we can learn a new software."
5/11/2020 9:03:01,8P5-3,6,8,I prefer this format,I like the option to choose how I want to make the map,We can learn how to draw a map that is easy for everyone to understand,The process of making the map is boring.,We can try numerous ways to make the map.,"I don't really enjoy this unit, I would want to have a more interesting unit."
5/11/2020 9:04:55,8P5-3,9,9,I prefer this format,I would rather a software is actually taught in class for me to use,we are able to know more about the school and make a mp for it,the unit is very complicated and we need to do many things at once,i think if the unit allowed us to have more time we would be able to design a better map,i think we can have more time to try to make our design more completed. 
5/11/2020 9:05:38,8P5-3,6,10,I prefer this format,I would rather a software is actually taught in class for me to use,I like that there is a master version of the map so we can finish the map by it very fast.,There is no part that I did not like.,I would like to have more time for making the map.,We can have more time for the map but not the worksheet
5/11/2020 9:07:10,8P5-3,5,6,"I have no preference, I just hate planning",I would rather a software is actually taught in class for me to use,"We wouldn't have to do spend all of our class time on typing things, we can do some work that we can walk around, and this make this unit more interesting.","Some people would have to measure too much place, and it is hard to complet all of the place the teacher tell us to do.","Every class in grade 8 can measure the school separately, so we can measure less things, and this can make the map we draw better.","This unit is nice, please make the other unit we are doing less typing and more work that we can do physically."
5/11/2020 9:08:21,8P5-3,5,5,"I have no preference, I just hate planning",I like the option to choose how I want to make the map,Planning.,Short time,I would like to change the way of doing work. ,"The time for we doing work is too little, I literally can't finish my work during the period and in the class time. We had summative and lot of pressure recently, please understand. "
5/11/2020 9:08:37,8P5-3,6,6,I prefer to write a journal or week by week task,I would rather a software is actually taught in class for me to use,It is fun to draw map.,Need to draw it too accurate,Change it easier,Good on checking map
5/11/2020 9:41:57,8LL-1,6,10,"I have no preference, I just hate planning",I would rather a software is actually taught in class for me to use,Understanding about different maps,Making map is annoying and pretty useless,Analyze more different successful maps instead of making one by oursevles,Great
5/11/2020 9:41:59,8LL-1,7,9,I prefer this format,I like the option to choose how I want to make the map,Can use a wide variety of programs to make the map,"The map can take a lot of time, getting in the way of other subjects","Nothing, its a decent unit",Good as always
5/11/2020 9:42:24,8LL-1,7,9,"I have no preference, I just hate planning",I like the option to choose how I want to make the map,I like the process of finding types of maps,Making the map,nothing,nothing
5/11/2020 9:42:51,8LL-1,5,8,I prefer this format,I like the option to choose how I want to make the map,I like to measure the classrooms and hallways.,I dislike create the map because it takes a lot of time to make.,There is no need to change in the unit.,None.
5/11/2020 9:43:26,8LL-1,7,10,I prefer this format,I would rather a software is actually taught in class for me to use,This unit can help us have an idea about the whole layout of our school.,The map creation takes a lot of time and there's a midterm coming up.,None.,None.
5/11/2020 9:44:51,8LL-1,3,8,"I have no preference, I just hate planning",I like the option to choose how I want to make the map,The workbook is easy and simple,The map drawing is complicated ,Only draw one to two floors,Nothing.
5/11/2020 9:45:01,8LL-1,6,8,I prefer this format,I like the option to choose how I want to make the map,"While me and my partner are planning how to draw an accurate and detailed map, I can improve the skill to work with others.",Sometimes drawing the school map can be tough and confusing.,I can try to work on my own.,The teacher help us out a lot when we have problems.
5/11/2020 9:45:12,8LL-1,3,9,"both 'I have no preference, I just hate planning' and 'I prefer this format'",I like the option to choose how I want to make the map,We can work in groups.,The task is very tiring and not interesting.,Make it more interesting. Decrease the actual task. ,no
5/11/2020 9:45:17,8LL-1,6,7,I prefer this format,I like the option to choose how I want to make the map,"I like how we get to be creative and make our maps in our own ways using different software. I also liked measuring the hallways, it was fun.",I dislike making the map because it takes too long and placing one room wrong can ruin the whole map.,"I wouldn't change anything about this unit, it's great.",No comments.
5/11/2020 9:47:20,8LL-1,8,10,"I have no preference, I just hate planning",I have no preference,I got to walk around the school.,I got to walk around the school.,Nothing.,Nice.
5/11/2020 9:48:16,8LL-1,6,6,I prefer this format,I like the option to choose how I want to make the map,We could use our creativity to create our own map by using different softwares. ,We needed to measure the dimensions of the buildings by ourselves.,There's nothing to be changed.,The teacher explains the tasks throughly and gives examples of the assignment.
5/11/2020 9:48:51,8LL-1,8,7,I prefer this format,I like the option to choose how I want to make the map,I like that fact we can choose between handrawn or software to complete the map. ,"No, I think this unit is perfectly perfect. ","Maybe the project should be individual because if the students do groupwork, they will have to do building one which is hard. ",I think it is great to let us choose the crieteria that we have to meet. 
5/11/2020 9:49:19,8LL-1,7,7,"I have no preference, I just hate planning",I have no preference,I like drawing.,I dislike to draw a map that can't draw it free.,Less limits.,Good.
5/11/2020 9:50:13,8LL-1,5,5,I prefer this format,I have no preference,I like making stuff out actually instead of blue print or drawing ,we had to do a lot of brainstorm that does not really help me do my work,no more blueprints or planning just make the product right away,awesome
5/11/2020 9:56:20,8LL-1,10,4,I prefer this format,I would rather a software is actually taught in class for me to use,-Soft deadlines before hard,"-students are given very little instructions when completing a school map, can teach how to use map-making softwares in class ",-Incorporate more Formative activities and ATL skill assessments,"Mr. Harry organises the classroom effectively and is energetic. He uses adequate teaching strategies and usually makes the students justify their answers and provide rationale to the class materials. Also, he is able to relate class materials to real-life events, demonstrating an excellent model to the rest of the class. Sometimes, however, he is struggling to help the students with direction and clarified instructions. To improve, he can provide more help to the students by not only organising Formative activities but also various ATL skill assessments. This will allow the students to get to know about the unit more. 

Even with that being said, I am truly impressed with the following positive accomplishments Mr. Harry has achieved:

-Encourages students to do their best
-Relates class material to real life events
-Challenges students to explain their opinions and answers
-Follows the IB MYP curriculum, manages class efficiently
-Attempts to clarify uncertainties students may potentially have 
-Is energetic
-Demonstrates excellent organisational skills students can learn from
-Involves a variety of teaching styles
-Is willing to hear what the students think
 "
5/11/2020 9:56:36,8LL-1,5,6,I prefer this format,I like the option to choose how I want to make the map,I liked that we got to use whatever format to create our map. ,"Even though it was pretty reasonable, i still didn't like that we couldn't work with a partner on building 3. ",I'd cancel some of the explaining sections. Some parts were just unnecessary for we already understand the unit and writing more would do nothing more than taking away our sleeping time. ,You should give us freedom to make decisions like in this unit in the future. 
5/11/2020 9:57:38,8LL-1,8,10,I prefer this format,I like the option to choose how I want to make the map,"I liked how we were allowed to use any form or material to make our final product. This way, each student's map would be unique and creative.","I did not like figuring out the complicated dimensions of the map. The master version for the map was hard to read, and I had to go back to the building to recheck multiple times.","I would set more time for students to create better sketches and measurements of the floors, so that it would be easier for everyone to make their maps afterwards.","I appreciate how the teacher allows people to ask for extensions, gives us a lot of room to be creative, and lets us choose our own groups."
5/11/2020 10:01:31,8LL-1,4,4,I prefer this format,I would rather a software is actually taught in class for me to use,"I liked how we were shown various types of maps at the start, and were told to critique them, in order to understand how to make a good map.",I disliked how we were not taught how to use any software to design a map.,"I would add in a period where we would be taught how to use software to design a map, which we were not taught.","Teach us how to use a software to design a map, and that way, our maps will be better & we'll get better grades."
5/11/2020 15:27:53,8P5-B,7,10,I prefer this format,I like the option to choose how I want to make the map,We can make our own choices.,We only have two weeks to finish it.,I hope to change the time limit to longer. ,none
5/11/2020 15:45:19,8P5-B,10,10,I prefer this format,I like the option to choose how I want to make the map,I like drawing map and measuring the school. ,No ,No,No
5/11/2020 15:45:50,8P5-B,5,7,I prefer this format,I like the option to choose how I want to make the map,No,No,No,No
